QCod,QKateg,QPag,QLang,QLect,QPhoto,QSound,QBook
454,1,18,1,"Σε πόση απόσταση από διασταύρωση επιτρέπεται να σταθμεύσετε το όχημά σας:","0","SQ-454","ΣΤΑΣΗ 32"
455,1,18,1,"Σε πόση απόσταση από φωτεινό σηματοδότη επιτρέπεται να σταθμεύσετε το όχημά σας:","0","SQ-455","ΣΤΑΣΗ 34"
456,1,18,1,"Σε πόση απόσταση πριν και μετά από ισόπεδη σιδηροδρομική διάβαση επιτρέπεται να σταθμεύσετε το όχημά σας:","0","SQ-456","ΣΤΑΣΗ 35"
457,1,18,1,"Σε ποια περίπτωση επιτρέπεται η στάθμευση αυτοκινήτου παραπλεύρως άλλου κανονικά σταθμευμένου κατά μήκος του δρόμου:","0","SQ-457","ΣΤΑΣΗ 36"
458,1,18,1,"Σε ποια απόσταση από πυροσβεστικό κρουνό επιτρέπεται να σταθμεύσετε το όχημά σας:","0","SQ-458","ΣΤΑΣΗ 37"
459,1,18,1,"Σε ποια θέση σε μονόδρομο επιτρέπεται η στάθμευση οχημάτων, αν δεν υπάρχει απαγορευτική πινακίδα:","0","SQ-459","ΣΤΑΣΗ 38"
460,1,18,1,"Σε ποια περίπτωση επιτρέπεται να σταθμεύσετε το όχημά σας επάνω σε πεζοδρόμιο:","0","SQ-460","ΣΤΑΣΗ 39"
461,1,18,1,"Σε ποια από τις ακόλουθες θέσεις απαγορεύεται να σταθμεύσετε το όχημά σας:","0","SQ-461","ΣΤΑΣΗ 40"
462,1,18,1,"Ποια υποχρέωση έχετε όταν σταθμεύετε το αυτοκίνητό σας σε δρόμο που δεν έχει πεζοδρόμια:","0","SQ-462","ΣΤΑΣΗ 41"
463,1,18,1,"Για να ξεκινήσετε με ασφάλεια από μια θέση σταθμεύσεως, σαν τελευταία ενέργεια πάντοτε να:","0","SQ-463","ΣΤΑΣΗ 43"
464,1,18,1,"Θέλετε να αφήσετε το όχημά σας σταθμευμένο σε ένα δρόμο. Μπορείτε να αφήσετε τον κινητήρα αναμμένο και σε λειτουργία ώσπου να γυρίσετε:","0","SQ-464","ΣΤΑΣΗ 44"
465,1,18,1,"Σταθμεύετε το όχημά σας στην πλευρά ενός δρόμου, με το μπροστινό μέρος σε ανηφορική κλίση. Θα πρέπει να βάλετε χειρόφρενο και να επιλέξετε:","0","SQ-465","ΣΤΑΣΗ 45"
466,1,18,1,"Σταθμεύετε το όχημά σας στην πλευρά ενός δρόμου, με το πίσω μέρος σε ανηφορική κλίση. Θα πρέπει να βάλετε χειρόφρενο και να επιλέξετε:","0","SQ-466","ΣΤΑΣΗ 47"
467,1,18,1,"Σε ένα παρκόμετρο υπάρχει ακόμη χρόνος για στάθμευση που περίσσεψε από το αυτοκίνητο που στάθμευσε ενωρίτερα. Πώς συμπεριφέρεσθε εάν θέλετε να σταθμεύσετε εκεί:","0","SQ-467","ΣΤΑΣΗ 50"
468,1,18,1,"Σε ένα δρόμο διπλής κατευθύνσεως δεν απαγορεύεται η στάθμευση δεξιά και αριστερά αυτού, παράλληλα προς τον άξονα του δρόμου. Πού επιτρέπεται να σταθμεύσετε:","0","SQ-468","ΣΤΑΣΗ 51"
469,1,18,1,"Ποια είναι η ελάχιστη απόσταση που πρέπει να αφήσετε όταν σταθμεύετε ή σταματάτε εμπρός από διάβαση πεζών:","0","SQ-469","ΣΤΑΣΗ 52"
470,1,18,1,"Σε ποιες περιπτώσεις συνιστάται να ανάψετε τη νύκτα τα φώτα θέσεως:","0","SQ-470","ΣΤΑΣΗ 53"
471,1,1,1,"Σε αυτήν την περίπτωση:","Th02","SQ-471","ΠΡΟΣΠΕΡΑΣΗ 02"
472,1,1,1,"Σε αυτήν την κατάσταση, εάν η οπισθοδρόμηση είναι απαραίτητη:","Th03","SQ-472","ΠΡΟΣΠΕΡΑΣΗ 03"
473,1,1,1,"Σε αυτήν την κατάσταση, εάν η οπισθοδρόμηση είναι απαραίτητη:","Th05","SQ-473","ΠΡΟΣΠΕΡΑΣΗ 05"
474,1,1,1,"To λεωφορείο είναι ακινητοποιημένο στη στάση. Εσείς, επειδή η αριστερή λωρίδα κυκλοφορίας είναι ελεύθερη, αποφασίζετε να το προσπεράσετε. Τι πρέπει να προσέξετε κατά τη διάρκεια του προσπεράσματος:","Th07","SQ-474","ΠΡΟΣΠΕΡΑΣΗ 07"
475,1,1,1,"Το αυτοκίνητό σας έχει καλή επιτάχυνση αλλά σε λίγα μέτρα διακρίνετε συνεχή γραμμή μεταξύ των ρευμάτων κυκλοφορίας:","Th08","SQ-475","ΠΡΟΣΠΕΡΑΣΗ 08"
476,1,15,1,"Σε αυτήν την περίπτωση θα έπρεπε να παραχωρήσετε την προτεραιότητα σε ένα όχημα που έρχεται απέναντί σας:","Th09","SQ-476","ΠΡΟΣΠΕΡΑΣΗ 09"
477,1,15,1,"Ένα όχημα φθάνει από απέναντι. Πρέπει να επιβραδύνει για να σας αφήσει να προσπεράσετε:","Th10","SQ-477","ΠΡΟΣΠΕΡΑΣΗ 10"
478,1,1,1,"Τελειώνετε το προσπέρασμά σας. Για να επανέλθετε στη δεξιά λωρίδα:","Th11","SQ-478","ΠΡΟΣΠΕΡΑΣΗ 11"
479,1,15,1,"Το όχημα 1 έχει ανάψει αριστερό φλας για να στρίψει. Το όχημα 2 μόλις προσπέρασε από τα δεξιά:","Th12","SQ-479","ΠΡΟΣΠΕΡΑΣΗ 12"
480,1,1,1,"Η ορατότητα είναι άριστη:","Th13","SQ-480","ΠΡΟΣΠΕΡΑΣΗ 13"
481,1,15,1,"Αυτό το αυτοκίνητο τελειώνει το προσπέρασμα του οχήματός σας:","Th14","SQ-481","ΠΡΟΣΠΕΡΑΣΗ 14"
482,1,15,1,"Σε αυτήν την περίπτωση, εάν μια οπισθοδρόμηση είναι απαραίτητη:","Th15","SQ-482","ΠΡΟΣΠΕΡΑΣΗ 15"
483,1,15,1,"Σε αυτόν το δρόμο:","Th16","SQ-483","ΠΡΟΣΠΕΡΑΣΗ 16"
484,1,15,1,"Σε αυτήν την περίπτωση μπορείτε να προσπεράσετε:","Th17","SQ-484","ΠΡΟΣΠΕΡΑΣΗ 17"
485,1,2,1,"Το κόκκινο αυτοκίνητο προσπερνά:","Th19","SQ-485","ΠΡΟΣΠΕΡΑΣΗ 19"
486,1,1,1,"Σε αυτήν την περίπτωση:","Th20","SQ-486","ΠΡΟΣΠΕΡΑΣΗ 20"
487,1,1,1,"Εάν είναι απαραίτητο, το ανερχόμενο αυτοκίνητο πρέπει να σταματήσει και να υποχωρήσει ώστε να παραχωρήσει την προτεραιότητα στο κατερχόμενο αυτοκίνητο:","Th21","SQ-487","ΠΡΟΣΠΕΡΑΣΗ 21"
488,1,20,1,"Για να περάσετε δίπλα από έναν πεζό, οφείλετε να αφήσετε ένα πλευρικό διάστημα το λιγότερο:","0","SQ-488","ΠΡΟΣΠΕΡΑΣΗ 24"
489,1,20,1,"Ένα αυτοκίνητο που σας ακολουθεί ετοιμάζεται να σας προσπεράσει ενώ στο οδόστρωμα υπάρχουν βέλη συμπτύξεως στο ρεύμα κυκλοφορίας σας:","0","SQ-489","ΠΡΟΣΠΕΡΑΣΗ 25"
490,1,20,1,"Οδηγείτε πίσω από ένα φορτηγό. Για να αποφασίσετε αν θα ξεκινήσετε τη διαδικασία του προσπεράσματος πρέπει:","0","SQ-490","ΠΡΟΣΠΕΡΑΣΗ 26"
491,1,20,1,"Αν η διέλευση αντιθέτως κινουμένων οχημάτων σε οδό με κλίση είναι δύσκολη, το όχημα που, κατά κανόνα, πρέπει να σταματήσει πρώτο είναι αυτό που κατεβαίνει:","0","SQ-491","ΠΡΟΣΠΕΡΑΣΗ 27"
492,1,20,1,"Για να προσπεράσετε ένα ζώο ή έναν ιππέα, οφείλετε να τηρήσετε μία ελάχιστη πλευρική απόσταση:","0","SQ-492","ΠΡΟΣΠΕΡΑΣΗ 28"
493,1,20,1,"Σε ποια από τις ακόλουθες περιπτώσεις απαγορεύεται το προσπέρασμα:","0","SQ-493","ΠΡΟΣΠΕΡΑΣΗ 29"
494,1,20,1,"Κατά το προσπέρασμα οχήματος από τα αναφερόμενα παρακάτω, από ποιο θα αφήσετε μεγαλύτερη απόσταση για λόγους ασφάλειας:","0","SQ-494","ΠΡΟΣΠΕΡΑΣΗ 30"
495,1,20,1,"Ποια υποχρέωση έχετε όταν αντιληφθείτε ότι ο οδηγός του οχήματος που ακολουθεί έχει πρόθεση να σας προσπεράσει:","0","SQ-495","ΠΡΟΣΠΕΡΑΣΗ 31"
496,1,20,1,"Τι πρέπει να κάνετε αν, τη στιγμή που αρχίζετε να προσπερνάτε προπορευόμενο όχημα, αυτό αναπτύσσει μεγαλύτερη ταχύτητα:","0","SQ-496","ΠΡΟΣΠΕΡΑΣΗ 32"
497,1,20,1,"Τι πρέπει να κάνετε για να περάσετε μια ισόπεδη αφύλακτη σιδηροδρομική διάβαση:","0","SQ-497","ΠΡΟΣΠΕΡΑΣΗ 33"
498,1,20,1,"Σε ποια περίπτωση επιτρέπεται το προσπέρασμα από δεξιά:","0","SQ-498","ΠΡΟΣΠΕΡΑΣΗ 34"
499,1,20,1,"Ποιος κίνδυνος υπάρχει κατά το προσπέρασμα ακόμα και σε οδόστρωμα που είναι ευθύ και παρέχει ορατότητα:","0","SQ-499","ΠΡΟΣΠΕΡΑΣΗ 35"
500,1,20,1,"Σε ποια περίπτωση επιτρέπεται να προσπεράσετε προπορευόμενο όχημα, που προσπερνά άλλο όχημα:","0","SQ-500","ΠΡΟΣΠΕΡΑΣΗ 38"
501,1,20,1,"Κανονικά, επιτρέπεται να προσπερνάτε μόνο από αριστερά. Σε ποια από τις παρακάτω καταστάσεις μπορείτε να προσπεράσετε από τα δεξιά:","0","SQ-501","ΠΡΟΣΠΕΡΑΣΗ 40"
502,1,20,1,"Σε έναν ανήφορο θέλετε να προσπεράσετε έναν ποδηλάτη. Πώς πρέπει να συμπεριφερθείτε:","0","SQ-502","ΠΡΟΣΠΕΡΑΣΗ 41"
503,1,20,1,"Τι πρέπει να προσέχετε κατά τη διαδικασία του προσπεράσματος σχετικά με την πλευρική απόσταση:","0","SQ-503","ΠΡΟΣΠΕΡΑΣΗ 44"
504,1,20,1,"Πώς πρέπει να συμπεριφερθείτε όταν θέλετε να τελειώσετε τη διαδικασία του προσπεράσματος:","0","SQ-504","ΠΡΟΣΠΕΡΑΣΗ 45"
505,1,20,1,"Πίσω από ένα φορτηγό έχει σχηματιστεί μία φάλαγγα από επιβατηγά αυτοκίνητα. Ποιο επιβατηγό θα έπρεπε να προσπεράσει πρώτο:","0","SQ-505","ΠΡΟΣΠΕΡΑΣΗ 46"
506,1,20,1,"Σε ποιες περιπτώσεις μπορεί δυνατός πλευρικός άνεμος να γίνει ιδιαίτερα επικίνδυνος:","0","SQ-506","ΠΡΟΣΠΕΡΑΣΗ 49"
507,1,20,1,"Ποιο σφάλμα συμπεριφοράς οδηγεί, κατά το προσπέρασμα σε οδό ταχείας κυκλοφορίας χωρίς διαχωριστική νησίδα, σε σοβαρά ατυχήματα:","0","SQ-507","ΠΡΟΣΠΕΡΑΣΗ 51"
508,1,20,1,"Πότε επιτρέπεται να ξεκινήσετε το προσπέρασμα:","0","SQ-508","ΠΡΟΣΠΕΡΑΣΗ 52"
509,1,7,1,"Αυτή η πινακίδα τονίζει μια σειρά στροφών από τις οποίες η πρώτη είναι προς τα αριστερά:","I01","SQ-509","ΣΤΡΟΦΕΣ 01"
510,1,7,1,"Αυτή η πινακίδα τονίζει αλλεπάλληλες στροφές για απόσταση 200 m:","I02","SQ-510","ΣΤΡΟΦΕΣ 02"
511,1,15,1,"Πώς πρέπει να ενεργήσετε βλέποντας τις πινακίδες της φωτογραφίας και γιατί:","I03","SQ-511","ΣΤΡΟΦΕΣ 03"
512,1,2,1,"Γιατί εδώ πρέπει να οδηγείτε με ιδιαίτερη προσοχή:","I04","SQ-512","ΣΤΡΟΦΕΣ 04"
513,1,2,1,"Ποια είναι η προειδοποίηση των πινακίδων της φωτογραφίας:","I05","SQ-513","ΣΤΡΟΦΕΣ 05"
514,1,19,1,"Η φυγόκεντρη δύναμη:","0","SQ-514","ΣΤΡΟΦΕΣ 07"
515,1,19,1,"Από τι επηρεάζεται το μέγεθος της φυγόκεντρου δυνάμεως επάνω στη στροφή:","0","SQ-515","ΣΤΡΟΦΕΣ 08"
516,1,19,1,"Όταν οδηγείτε σε στροφή η ελάχιστη ταχύτητα του οχήματός σας θα πρέπει να είναι όταν:","0","SQ-516","ΣΤΡΟΦΕΣ 09"
517,1,19,1,"Στις στροφές, εάν το αυτοκίνητό σας είναι υπερφορτωμένο:","0","SQ-517","ΣΤΡΟΦΕΣ 10"
518,1,19,1,"Πώς συμπεριφέρεσθε σε κλειστές στροφές:","0","SQ-518","ΣΤΡΟΦΕΣ 11"
519,1,19,1,"Τι μπορεί να οδηγήσει σε ιδιαίτερα επικίνδυνες καταστάσεις κατά την κίνηση σε στροφή:","0","SQ-519","ΣΤΡΟΦΕΣ 12"
520,1,19,1,"Σε τι πρέπει να υπολογίζει ο οδηγός ενός οχήματος που ακολουθεί ένα βαρύ όχημα το οποίο θέλει να στρίψει δεξιά σε ένα δρόμο:","0","SQ-520","ΣΤΡΟΦΕΣ 14"
521,1,19,1,"Κάθε φορά που η ταχύτητα διπλασιάζεται η φυγόκεντρη δύναμη πολλαπλασιάζεται:","0","SQ-521","ΣΤΡΟΦΕΣ 15"
522,1,19,1,"Κινείσθε γρήγορα με το επιβατηγό σας σε μία στροφή. Τι μπορεί να συμβεί εάν ξαφνικά φρενάρετε δυνατά:","0","SQ-522","ΣΤΡΟΦΕΣ 16"
523,1,19,1,"Αλλάζετε σχέση στο κιβώτιο ταχυτήτων μέσα σε στροφή:","0","SQ-523","ΣΤΡΟΦΕΣ 17"
524,1,2,1,"Ποιο όχημα πρέπει να περιμένει να περάσουν οι πεζοί:","Ia03","SQ-524","ΣΥΝΥΠΑΡΞΗ 03"
525,1,2,1,"Μπορείτε να πάρετε την απόφαση να προσπεράσετε αυτό το φορτηγό από τα δεξιά:","Ia06","SQ-525","ΣΥΝΥΠΑΡΞΗ 06"
526,1,1,1,"Καθώς το φορτηγό εισέρχεται στο κύριο ρεύμα κυκλοφορίας από λωρίδα επιταχύνσεως, τι μπορεί να κάνει ο οδηγός ενός επιβατηγού αυτοκινήτου που κινείται στη δεξιά λωρίδα, για να συμβάλει στην ασφάλεια της κυκλοφορίας:","Ia07","SQ-526","ΣΥΝΥΠΑΡΞΗ 07"
527,1,15,1,"Μπορείτε να πραγματοποιήσετε προσπέρασμα κοντά σε μια διάβαση πεζών:","Ia08","SQ-527","ΣΥΝΥΠΑΡΞΗ 08"
528,1,2,1,"Είστε σταματημένος σε κάποιο κόκκινο φανάρι, μπροστά από διάβαση πεζών. Το πράσινο φανάρι της διαβάσεως πεζών γίνεται κόκκινο. Τι κάνετε:","Ia11","SQ-528","ΣΥΝΥΠΑΡΞΗ 11"
529,1,16,1,"Αφήνετε να διασχίσουν οι πεζοί το δρόμο:","Ia12","SQ-529","ΣΥΝΥΠΑΡΞΗ 12"
530,1,2,1,"Τι πρέπει να κάνετε σε αυτήν την περίπτωση:","Ia14","SQ-530","ΣΥΝΥΠΑΡΞΗ 14"
531,1,2,1,"Στο σηματοδότη της φωτογραφίας, έχει ανάψει πράσινο σταθερό φως και κίτρινα φώτα με μορφή βέλους που αναβοσβήνουν. Εσείς σκοπεύετε να προχωρήσετε ευθεία. Πώς θα συνεχίσετε την πορεία σας:","Ia15","SQ-531","ΣΥΝΥΠΑΡΞΗ 15"
532,1,16,1,"Τι πρέπει να προσέξετε εδώ:","Ia16","SQ-532","ΣΥΝΥΠΑΡΞΗ 16"
533,1,1,1,"Κινείσθε στη μεσαία λωρίδα κυκλοφορίας της οδού. Τι πρέπει να προσέξετε ιδιαίτερα και πώς πρέπει να ενεργήσετε στην περίπτωση αυτή:","Ia17","SQ-533","ΣΥΝΥΠΑΡΞΗ 17"
534,1,2,1,"Στο δρόμο που κινείσθε βλέπετε τον εθελοντή σχολικό τροχονόμο να είναι σε αυτήν τη θέση. Τι θα κάνετε:","Ia18","SQ-534","ΣΥΝΥΠΑΡΞΗ 18"
535,1,16,1,"Ποια οχήματα πρέπει να σταματήσουν για να περάσουν με ασφάλεια οι πεζοί:","Ia19","SQ-535","ΣΥΝΥΠΑΡΞΗ 19"
536,1,20,1,"Καθώς ετοιμάζεστε να προσπεράσετε διακρίνετε από τον εξωτερικό σας καθρέπτη το φως ενός μοτοποδηλάτου:","0","SQ-536","ΣΥΝΥΠΑΡΞΗ 20"
537,1,22,1,"Για να αλλάξετε κατεύθυνση, ακόμη και αν δεν υπάρχει κάποιος άλλος χρήστης γύρω σας, είστε υποχρεωμένος να βγάλετε φλας:","0","SQ-537","ΣΥΝΥΠΑΡΞΗ 21"
538,1,22,1,"Οφείλετε να διευκολύνετε τη διέλευση ενός οχήματος άμεσης ανάγκης:","0","SQ-538","ΣΥΝΥΠΑΡΞΗ 23"
539,1,22,1,"Παραχωρείτε τη διέλευση στα οχήματα άμεσης ανάγκης:","0","SQ-539","ΣΥΝΥΠΑΡΞΗ 26"
540,1,22,1,"Πλησιάζετε ένα σχολείο. Οι μαθητές εγκατελείπουν το κτίριο του σχολείου. Σε τι πρέπει να υπολογίζετε:","0","SQ-540","ΣΥΝΥΠΑΡΞΗ 27"
541,1,22,1,"Όταν κινείσθε σε οδό, έξω από κατοικημένη περιοχή που δεν φωτίζεται αρκετά, σε ποιες περιπτώσεις επιτρέπεται να χρησιμοποιήσετε τα φώτα πορείας (μεγάλα) του οχήματος:","0","SQ-541","ΣΥΝΥΠΑΡΞΗ 29"
542,1,22,1,"Σε ποιες περιπτώσεις επιτρέπεται το κορνάρισμα μέσα στις πόλεις:","0","SQ-542","ΣΥΝΥΠΑΡΞΗ 30"
543,1,22,1,"Καθώς οδηγείτε βλέπετε έναν πεζό που φέρει ένα λευκό ραβδί. Το άτομο αυτό πιθανά είναι:","0","SQ-543","ΣΥΝΥΠΑΡΞΗ 31"
544,1,19,1,"Σε διασταύρωση όπου ο σηματοδότης της πορείας σας δείχνει πράσινο φως και άλλο όχημα ή πεζός κινείται ακόμη από προηγούμενη σηματοδότηση, ποια υποχρέωση έχετε:","0","SQ-544","ΣΥΝΥΠΑΡΞΗ 32"
545,1,22,1,"Αν αντιληφθείτε ότι ένα όχημα από την αντίθετη κατεύθυνση έρχεται επάνω σας, λόγω βλάβης ή άλλης αιτίας, πώς θα αντιδράσετε:","0","SQ-545","ΣΥΝΥΠΑΡΞΗ 33"
546,1,22,1,"Σε κατοικημένες περιοχές, κατά τη διάρκεια της νύκτας, ποια φώτα του οχήματός σας, όταν αυτό κινείται, πρέπει υποχρεωτικά να είναι αναμμένα:","0","SQ-546","ΣΥΝΥΠΑΡΞΗ 34"
547,1,21,1,"Σε ποιες από τις παρακάτω περιπτώσεις επιτρέπεται να χρησιμοποιείτε τα φώτα ομίχλης:","0","SQ-547","ΣΥΝΥΠΑΡΞΗ 35"
548,1,22,1,"Με ποιον τρόπο επισημαίνεται η επιβίβαση ή αποβίβαση μαθητών σε ή από σχολικό λεωφορείο:","0","SQ-548","ΣΥΝΥΠΑΡΞΗ 36"
549,1,22,1,"Πώς πρέπει να συμπεριφέρεσθε, όταν μία σύγκρουση με άγρια ζώα είναι πλέον αναπόφευκτη:","0","SQ-549","ΣΥΝΥΠΑΡΞΗ 37"
550,1,19,1,"Σε διασταυρώσεις που υπάρχουν διαβάσεις πεζών και η κυκλοφορία δεν ρυθμίζεται από τροχονόμο ή σηματοδότες, ποιοι έχουν προτεραιότητα:","0","SQ-550","ΣΥΝΥΠΑΡΞΗ 40"
551,1,22,1,"Σε ποια περίπτωση επιτρέπεται να διακόψετε προπορευόμενες στρατιωτικές φάλαγγες ή θρησκευτικές πομπές:","0","SQ-551","ΣΥΝΥΠΑΡΞΗ 42"
552,1,22,1,"Το μισό ενός οδοστρώματος είναι κλεισμένο εξαιτίας ενός εργοταξίου. Στο εργοτάξιο φθάνουν συγχρόνως και από αντίθετες κατευθύνσεις δύο οχήματα. Ποιο όχημα πρέπει να περιμένει:","0","SQ-552","ΣΥΝΥΠΑΡΞΗ 45"
553,1,22,1,"Πώς πρέπει να συμπεριφέρεσθε ως οδηγός ενός επιβατηγού, όταν αφήνετε να επιβιβασθούν ή αποβιβασθούν από το αυτοκίνητο παιδιά:","0","SQ-553","ΣΥΝΥΠΑΡΞΗ 46"
554,1,22,1,"Βλέπετε ανθρώπους να περιμένουν σε μια διάβαση πεζών χωρίς εμφανή πρόθεση να διασχίσουν τη διάβαση. Εσείς:","0","SQ-554","ΣΥΝΥΠΑΡΞΗ 47"
555,1,22,1,"Πότε πρέπει, ως οδηγός επιβατηγού αυτοκινήτου, να θέσετε σε λειτουργία τα φώτα έκτακτης ανάγκης (αλάρμ):","0","SQ-555","ΣΥΝΥΠΑΡΞΗ 48"
556,1,22,1,"Το όχημά σας έμεινε από βλάβη σε έναν επαρχιακό δρόμο. Τι πρέπει να προσέξετε κατά τη ρυμούλκηση:","0","SQ-556","ΣΥΝΥΠΑΡΞΗ 50"
557,1,22,1,"Εμπρός από το όχημά σας περνά ένα κοπάδι ζώων. Σε τι πρέπει να υπολογίζετε:","0","SQ-557","ΣΥΝΥΠΑΡΞΗ 53"
558,1,22,1,"Σε έναν επαρχιακό δρόμο όπου βρέχει και είναι σκοτάδι έρχονται από απέναντί σας οχήματα με αναμμένα τα φώτα διασταυρώσεως (μεσαία). Τι πρέπει να λάβετε υπόψη σας:","0","SQ-558","ΣΥΝΥΠΑΡΞΗ 54"
559,1,22,1,"Ποιοι παράγοντες μπορούν να προκαλέσουν κινδύνους στην οδική κυκλοφορία:","0","SQ-559","ΣΥΝΥΠΑΡΞΗ 55"
560,1,22,1,"Έναντι ποιων άλλων χρηστών του οδικού δικτύου πρέπει να είσθε ιδιαιτέρως προσεκτικοί:","0","SQ-560","ΣΥΝΥΠΑΡΞΗ 56"
561,1,22,1,"Τι καταλαβαίνει κάποιος με τον όρο «αμυντική οδήγηση»:","0","SQ-561","ΣΥΝΥΠΑΡΞΗ 59"
562,1,22,1,"Γιατί δεν επιτρέπεται οι οδηγοί να πηγαίνουν πολύ σιγά χωρίς αιτία:","0","SQ-562","ΣΥΝΥΠΑΡΞΗ 61"
563,1,22,1,"Ένα δίτροχο μοτοποδήλατο που κινείται με μικρή ταχύτητα εισέρχεται ξαφνικά μπροστά σας σε δρόμο με πυκνή κυκλοφορία:","0","SQ-563","ΣΥΝΥΠΑΡΞΗ 62"
564,1,22,1,"Σε τι υπολογίζετε όταν πλησιάζετε με το όχημά σας παιδιά:","0","SQ-564","ΣΥΝΥΠΑΡΞΗ 63"
565,1,22,1,"Σε ποια απόσταση πρέπει να τοποθετείτε το προειδοποιητικό τρίγωνο, όταν ένα επιβατηγό εγκαταλείπεται σε ένα δρόμο ταχείας κυκλοφορίας:","0","SQ-565","ΣΥΝΥΠΑΡΞΗ 65"
566,1,11,1,"Βρίσκετε τις ενδείξεις στις πινακίδες κατευθύνσεως και στους οδικούς χάρτες:","Ib01","SQ-566","ΔΙΑΔΡΟΜΗ 01"
567,1,16,1,"Είναι σωστή η συμβουλή να κάνετε στάσεις:","Ib03","SQ-567","ΔΙΑΔΡΟΜΗ 03"
568,1,11,1,"Η πινακίδα E-92 σε πράσινο φόντο σημαίνει:","Ib04","SQ-568","ΔΙΑΔΡΟΜΗ 04"
569,1,15,1,"Προτίθεσθε να κινηθείτε ευθεία, αλλά το λευκό αυτοκίνητο έχει σταματήσει σε κακή θέση περιμένοντας να διασχίσει το οδόστρωμα και έχει κλείσει ένα μέρος της λωρίδας κυκλοφορίας σας. Πώς θα ενεργήσετε:","Ib06","SQ-569","ΔΙΑΔΡΟΜΗ 06"
570,1,1,1,"Ο οδηγός του κόκκινου επιβατηγού αυτοκινήτου έχει ανάψει το αριστερό φλας επειδή σκοπεύει να μετακινηθεί στην αριστερή λωρίδα κυκλοφορίας, στην οποία προηγείται άλλο αυτοκίνητο. Πώς πρέπει να κινηθεί:","Ib07","SQ-570","ΔΙΑΔΡΟΜΗ 07"
571,1,1,1,"Κινείσθε στη μεσαία λωρίδα κυκλοφορίας στο δρόμο της φωτογραφίας και σκοπεύετε να στρίψετε αριστερά στην επόμενη διασταύρωση. Ποιες ενέργειες πρέπει να κάνετε:","Ib08","SQ-571","ΔΙΑΔΡΟΜΗ 08"
572,1,1,1,"Πώς θα ενεργήσετε στην περίπτωση αυτή:","Ib09","SQ-572","ΔΙΑΔΡΟΜΗ 09"
573,1,2,1,"Ποιος είναι ο σκοπός του κατόπτρου της φωτογραφίας:","Ib12","SQ-573","ΔΙΑΔΡΟΜΗ 12"
574,1,1,1,"Πώς θα κινηθείτε στην περίπτωση αυτή:","Ib14","SQ-574","ΔΙΑΔΡΟΜΗ 14"
576,1,23,1,"Για μεγάλες διαδρομές, ακολουθείτε κυρίως τις πινακίδες κατευθύνσεως με χρώμα υποβάθρου (φόντου):","0","SQ-576","ΔΙΑΔΡΟΜΗ 17"
577,1,23,1,"Για να κάνετε ένα ταξίδι περίπου 500 km με μία μέση ταχύτητα 100 km/h, θα κάνετε περίπου:","0","SQ-577","ΔΙΑΔΡΟΜΗ 22"
578,1,23,1,"Σε ποια από τις ακόλουθες περιπτώσεις έχετε υποχρέωση να μετριάζετε την ταχύτητα του οχήματός σας:","0","SQ-578","ΔΙΑΔΡΟΜΗ 23"
579,1,23,1,"Όταν πρόκειται να εγκαταλείψετε μια πλατεία, έχετε υποχρέωση να ειδοποιήσετε με τα φλας αυτούς που ακολουθούν:","0","SQ-579","ΔΙΑΔΡΟΜΗ 25"
580,1,26,1,"Κατά την πορεία σας διαπιστώνετε ότι χάσατε τον έλεγχο του αυτοκινήτου επειδή στην άσφαλτο υπάρχουν λάδια. Τι θα κάνετε:","0","SQ-580","ΔΙΑΔΡΟΜΗ 28"
581,1,28,1,"Πόσο επιτρέπεται να προεξέχει το φορτίο από το πίσω μέρος ενός επιβατηγού αυτοκινήτου με μήκος αμαξώματος 4 m:","0","SQ-581","ΔΙΑΔΡΟΜΗ 29"
582,1,23,1,"Αν στο επιβατηγό σας αυτοκίνητο υπάρχουν παιδιά ηλικίας κάτω των 12 ετών, πώς πρέπει να μεταφέρονται με ασφάλεια:","0","SQ-582","ΔΙΑΔΡΟΜΗ 31"
583,1,26,1,"Γιατί είναι επικίνδυνο, το να επιταχύνετε δυνατά κατά την εκκίνηση:","0","SQ-583","ΔΙΑΔΡΟΜΗ 33"
584,1,23,1,"Πώς προειδοποιεί κάποιος οδηγός την υπόλοιπη κυκλοφορία όταν διαπιστώσει βλάβη στο όχημά του ενώ κινείται και υποχρεώνεται να το ακινητοποιήσει:","0","SQ-584","ΔΙΑΔΡΟΜΗ 34"
585,1,23,1,"Ποιες συνέπειες προκύπτουν, όταν μεταφέρετε αποσκευές στην οροφή του επιβατηγού σας:","0","SQ-585","ΔΙΑΔΡΟΜΗ 35"
586,1,26,1,"Γιατί είναι επικίνδυνο το να επιταχύνετε δυνατά κατά την εκκίνηση:","0","SQ-586","ΔΙΑΔΡΟΜΗ 36"
587,1,18,1,"Πότε επιτρέπεται να κάνετε όπισθεν με το όχημά σας:","0","SQ-587","ΔΙΑΔΡΟΜΗ 37"
588,1,23,1,"Οδηγείτε τη νύκτα με τα μεγάλα φώτα. Πότε πρέπει να ανάψετε τα μεσαία:","0","SQ-588","ΔΙΑΔΡΟΜΗ 38"
589,1,26,1,"Το επιβατηγό σας κατά το φρενάρισμα ολισθαίνει (ντεραπάρει). Πώς πρέπει να αντιδράσετε:","0","SQ-589","ΔΙΑΔΡΟΜΗ 39"
