AQCod,AAA,ALect,ACorr,ASound
415,2,"150 km/h.",0,"SA-376-3"
415,3,"185 km/h.",0,"SA-415-3"
416,1,"Διπλασιασθεί.",0,"SA-416-1"
416,2,"Τριπλασιασθεί.",0,"SA-416-2"
416,3,"Τετραπλασιασθεί.",1,"SA-416-3"
417,1,"2 δευτερόλεπτα.",0,"SA-417-1"
417,2,"3 δευτερόλεπτα.",0,"SA-417-2"
417,3,"4 δευτερόλεπτα.",1,"SA-417-3"
418,1,"Διατηρείτε τόση απόσταση ώστε να μπορείτε να το αποφύγετε με ασφάλεια αν χρειασθεί.",1,"SA-418-1"
418,2,"Κρατάτε απόσταση που μόλις σας επιτρέπει να το βλέπετε.",0,"SA-418-2"
418,3,"Οδηγείτε με αναμμένα τα φώτα πορείας (μεγάλα).",0,"SA-418-3"
419,1,"Χώρο τουλάχιστον όσο το πλάτος της πόρτας ενός αυτοκινήτου.",1,"SA-419-1"
419,2,"Όχι λιγότερο από 2 m.",0,"SA-419-2"
419,3,"Όχι λιγότερο από 3 m.",0,"SA-419-3"
420,1,"25 m.",1,"SA-420-1"
420,2,"15 m.",0,"SA-420-2"
420,3,"20 m.",0,"SA-772-2"
421,1,"30 m.",1,"SA-413-2"
421,2,"50 m.",0,"SA-772-1"
421,3,"100 m.",0,"SA-8-1"
422,1,"Σταματάτε.",1,"SA-264-2"
422,2,"Συνεχίζετε την πορεία σας.",0,"SA-422-2"
423,1,"Το μήκος φρεναρίσματος θα γίνει μεγαλύτερο.",1,"SA-423-1"
423,2,"Η απόσταση ακινητοποιήσεως θα γίνει μικρότερη.",0,"SA-423-2"
423,3,"Η ικανότητα επιταχύνσεως θα αυξηθεί.",0,"SA-423-3"
424,1,"Όσο και το μήκος της δέσμης των μεσαίων φώτων.",1,"SA-424-1"
424,2,"Όσο το διπλάσιο μήκος της δέσμης των μεσαίων φώτων.",0,"SA-424-2"
425,1,"Στην απόσταση του πεδίου ορατότητας.",1,"SA-425-1"
425,2,"Σε διπλάσια απόσταση αυτής του πεδίου ορατότητας.",0,"SA-425-2"
426,1,"Τις εξωτερικές συνθήκες (ομίχλη κλπ.).",0,"SA-427-1"
426,2,"Την κατάσταση του οχήματός σας.",0,"SA-426-2"
426,3,"Τη φυσική σας κατάσταση (κούραση, μέθη, άγχος, εκνευρισμός).",1,"SA-426-3"
427,1,"Τις εξωτερικές συνθήκες (ομίχλη κλπ.).",0,"SA-427-1"
427,2,"Την κατάσταση του οχήματός σας.",0,"SA-426-2"
427,3,"Την ηλικία σας.",1,"SA-427-3"
428,1,"4 φορές μεγαλύτερη.",1,"SA-428-1"
428,2,"2 φορές μεγαλύτερη.",0,"SA-428-2"
428,3,"6 φορές μεγαλύτερη.",0,"SA-428-3"
429,1,"ΝΑΙ",0,"SA-634-1"
429,2,"ΟΧΙ",1,"SA-600-2"
430,1,"ΝΑΙ",0,"SA-634-1"
430,2,"ΟΧΙ",1,"SA-600-2"
431,1,"Πρόκειται για μια στάση.",1,"SA-431-1"
431,2,"Πρόκειται για στάθμευση.",0,"SA-431-2"
432,1,"Είναι αποδεκτή αν είναι σύντομη.",0,"SA-432-1"
432,2,"Δεν συνιστάται.",0,"SA-432-2"
432,3,"Είναι επικίνδυνη.",1,"SA-432-3"
433,1,"ΝΑΙ",1,"SA-634-1"
433,2,"ΟΧΙ",0,"SA-600-2"
434,1,"Όχι, διότι απαγορεύεται η στάθμευση σε απόσταση 10 m από αυτήν.",1,"SA-434-1"
434,2,"Ναι, διότι απαγορεύεται η στάθμευση μετά από 10 m από αυτήν.",0,"SA-434-2"
435,1,"Είναι αποδεκτή εάν είναι σύντομη.",0,"SA-432-1"
435,2,"Δεν συνιστάται.",0,"SA-432-2"
435,3,"Είναι επικίνδυνη.",1,"SA-432-3"
436,1,"Είναι αποδεκτή εάν είναι σύντομη.",0,"SA-432-1"
436,2,"Είναι επικίνδυνη.",1,"SA-432-3"
436,3,"Δεν συνιστάται.",0,"SA-432-2"
437,1,"Επιτρεπόμενη.",1,"SA-437-1"
437,2,"Απαγορευμένη.",0,"SA-437-2"
438,1,"ΝΑΙ",1,"SA-634-1"
438,2,"ΟΧΙ",0,"SA-600-2"
439,1,"Είναι προαιρετικά.",0,"SA-439-1"
439,2,"Είναι υποχρεωτικά.",1,"SA-439-2"
439,3,"Συνιστώνται.",0,"SA-439-3"
440,1,"Μεταξύ των πινακίδων.",0,"SA-440-1"
440,2,"Εκτός του μήκους που ορίζουν οι πινακίδες.",1,"SA-440-2"
441,1,"ΝΑΙ",0,"SA-634-1"
441,2,"ΟΧΙ",1,"SA-600-2"
442,1,"ΝΑΙ",0,"SA-634-1"
442,2,"ΟΧΙ",1,"SA-600-2"
443,1,"ΝΑΙ",0,"SA-634-1"
443,2,"ΟΧΙ",1,"SA-600-2"
444,1,"Την αριστερή.",1,"SA-444-1"
444,2,"Τη δεξιά.",0,"SA-444-2"
445,1,"Σε απόσταση μεγαλύτερη των 12 m από τη στάση του λεωφορείου.",1,"SA-445-1"
445,2,"Σε απόσταση μεγαλύτερη των 5 m από τη στάση του λεωφορείου.",0,"SA-445-2"
445,3,"Σε οποιαδήποτε θέση εκτός μπροστά από το στέγαστρο.",0,"SA-445-3"
446,1,"ΝΑΙ",0,"SA-634-1"
446,2,"ΟΧΙ",1,"SA-600-2"
447,1,"Την αριστερή.",0,"SA-444-1"
447,2,"Τη δεξιά.",1,"SA-444-2"
448,1,"Γιατί το οδόστρωμα είναι διπλής κατευθύνσεως.",0,"SA-448-1"
448,2,"Γιατί υπάρχει πινακίδα που απαγορεύει τη στάση και τη στάθμευση καθώς και συνεχής κίτρινη γραμμή στο άκρο του οδοστρώματος.",1,"SA-448-2"
449,1,"ΝΑΙ",1,"SA-634-1"
449,2,"ΟΧΙ",0,"SA-600-2"
450,1,"Πρόκειται για μια στάση.",0,"SA-431-1"
450,2,"Πρόκειται για στάθμευση.",1,"SA-431-2"
451,1,"Καθορίζει την απαγόρευση να σταθμεύετε, αλλά σας επιτρέπει να σταματήσετε μερικά λεπτά.",0,"SA-451-1"
451,2,"Τονίζει πως απαγορεύεται να σταματάτε και να σταθμεύετε.",1,"SA-451-2"
452,1,"Σε απόσταση μεγαλύτερη των 5 m.",0,"SA-455-1"
452,2,"Σε απόσταση μεγαλύτερη των 10 m.",0,"SA-455-2"
452,3,"Σε απόσταση μεγαλύτερη των 12 m.",1,"SA-452-3"
453,1,"Το φως της πίσω πινακίδας του αριθμού κυκλοφορίας.",0,"SA-453-1"
453,2,"Τα πίσω φώτα θέσεως (μικρά).",0,"SA-453-2"
453,3,"Τα εμπρός και πίσω φώτα θέσεως (μικρά) ή το φως σταθμεύσεως που βρίσκεται προς το μέρος της κυκλοφορίας.",1,"SA-453-3"
454,1,"Σε απόσταση 1 m τουλάχιστον από τη διάβαση πεζών.",0,"SA-454-1"
454,2,"Σε απόσταση μεγαλύτερη των 10 m από τη νοητή προέκταση της πλησιέστερης οριογραμμής του κάθετου οδοστρώματος.",1,"SA-454-2"
454,3,"Σε απόσταση 15 m τουλάχιστον από το κέντρο της διασταυρώσεως.",0,"SA-454-3"
455,1,"Σε απόσταση μεγαλύτερη των 5 m.",0,"SA-455-1"
455,2,"Σε απόσταση μεγαλύτερη των 10 m.",0,"SA-455-2"
455,3,"Σε απόσταση μεγαλύτερη των 20 m.",1,"SA-455-3"
456,1,"Σε απόσταση μεγαλύτερη των 10 m.",0,"SA-455-2"
456,2,"Σε απόσταση μεγαλύτερη των 15 m.",1,"SA-456-2"
456,3,"Σε απόσταση μεγαλύτερη των 5 m αν η διάβαση φυλάσσεται και των 20 m αν δεν φυλάσσεται.",0,"SA-456-3"
457,1,"Όταν ο δρόμος είναι μιας κατευθύνσεως (μονόδρομος) και έχει τρεις τουλάχιστον λωρίδες κυκλοφορίας.",0,"SA-457-1"
457,2,"Όταν ο δρόμος δεν έχει μεγάλη κίνηση.",0,"SA-457-2"
457,3,"Μόνο αν το επιτρέπει ειδική σήμανση.",1,"SA-457-3"
458,1,"Σε απόσταση μεγαλύτερη των 2 m.",0,"SA-458-1"
458,2,"Σε απόσταση μεγαλύτερη των 5 m.",1,"SA-455-1"
458,3,"Δεν υπάρχει περιορισμός.",0,"SA-458-3"
459,1,"Μόνο στη δεξιά άκρη του δρόμου.",0,"SA-459-1"
459,2,"Μόνο στην αριστερή άκρη του δρόμου.",0,"SA-459-2"
459,3,"Και στην αριστερή και στη δεξιά άκρη του δρόμου.",1,"SA-459-3"
460,1,"Όταν το πλάτος του πεζοδρομίου είναι μεγαλύτερο των 3,5 m.",0,"SA-460-1"
460,2,"Όταν το τμήμα του πεζοδρομίου όπου θα σταθμεύσετε βρίσκεται μπροστά στο σπίτι σας ή το κατάστημά σας.",0,"SA-460-2"
460,3,"Μόνο όταν ειδική σήμανση το επιτρέπει .",1,"SA-460-3"
461,1,"Σε απόσταση μεγαλύτερη των 20 m από φωτεινούς σηματοδότες.",0,"SA-461-1"
461,2,"Πάνω σε καμπύλες δρόμων.",1,"SA-461-2"
461,3,"Σε απόσταση μεγαλύτερη των 12 m από τις στάσεις των λεωφορείων.",0,"SA-461-3"
462,1,"Να μη σταθμεύετε μπροστά σε εισόδους σπιτιών ή καταστημάτων.",0,"SA-462-1"
462,2,"Να τοποθετείτε το αυτοκίνητο κατά το δυνατόν πλησιέστερα στην οικοδομική γραμμή.",0,"SA-462-2"
462,3,"Να αφήνετε ελεύθερο χώρο, πλάτους 1 m τουλάχιστον, για να περνούν οι πεζοί.",1,"SA-462-3"
463,1,"Χρησιμοποιείτε τα φλας.",0,"SA-463-1"
463,2,"Κοιτάζετε λοξά πάνω από τον ώμο σας.",1,"SA-463-2"
463,3,"Δίνετε σήμα με το χέρι.",0,"SA-463-3"
464,1,"Μόνο αν σταθμεύετε για λιγότερο από 5 λεπτά.",0,"SA-464-1"
464,2,"Για να φορτίσετε μια αφόρτιστη μπαταρία.",0,"SA-464-2"
464,3,"Σε καμμία απολύτως περίπτωση.",1,"SA-464-3"
465,1,"Όπισθεν.",0,"SA-466-1"
465,2,"Νεκρά.",0,"SA-466-2"
465,3,"Πρώτη ταχύτητα.",1,"SA-465-3"
466,1,"Όπισθεν.",1,"SA-466-1"
466,2,"Νεκρά.",0,"SA-466-2"
466,3,"Πρώτη ταχύτητα.",0,"SA-465-3"
467,1,"Δεν επιτρέπεται να χρησιμοποιήσετε τον υπόλοιπο χρόνο.",0,"SA-467-1"
467,2,"Μπορείτε να χρησιμοποιήσετε τον υπόλοιπο χρόνο, χωρίς να επέμβετε εκ νέου στο ρολόι.",1,"SA-467-2"
468,1,"Δεξιά και αριστερά της πορείας σας.",0,"SA-468-1"
468,2,"Μόνο δεξιά της πορείας σας.",1,"SA-468-2"
469,1,"1 m.",0,"SA-469-1"
469,2,"5 m.",1,"SA-469-2"
469,3,"12 m.",0,"SA-469-3"
470,1,"Όταν το όχημα είναι σταθμευμένο εκτός κατοικημένης περιοχής.",1,"SA-470-1"
470,2,"Όταν οδηγείτε σε δρόμους με συνεχή και αρκετό φωτισμό.",0,"SA-470-2"
471,1,"Μπορείτε να αρχίσετε το προσπέρασμα.",1,"SA-471-1"
471,2,"Πρέπει να περιμένετε για να προσπεράσετε μετά την στροφή.",0,"SA-471-2"
472,1,"Το επιβατηγό υποχωρεί.",1,"SA-472-1"
472,2,"Το βαρύ όχημα υποχωρεί.",0,"SA-472-2"
473,1,"Το φορτηγό υποχωρεί.",1,"SA-473-1"
473,2,"Το αυτοκίνητο που ρυμουλκεί το τροχόσπιτο υποχωρεί.",0,"SA-473-2"
474,1,"Μήπως πεζοί, περνώντας μπροστά από το λεωφορείο, διασχίζουν απρόσεκτα το οδόστρωμα.",0,"SA-474-1"
474,2,"Μήπως το λεωφορείο ξεκινήσει.",0,"SA-474-2"
474,3,"Μήπως το λεωφορείο ξεκινήσει ή μήπως πεζοί διασχίζουν απρόσεχτα το οδόστρωμα μπροστά από το λεωφορείο.",1,"SA-474-3"
475,1,"Μπορείτε να προσπεράσετε.",0,"SA-486-2"
475,2,"Δεν πρέπει να προσπεράσετε.",1,"SA-486-3"
476,1,"ΝΑΙ",0,"SA-634-1"
476,2,"ΟΧΙ",1,"SA-600-2"
477,1,"ΝΑΙ",0,"SA-634-1"
477,2,"ΟΧΙ",1,"SA-600-2"
478,1,"Αφήνετε να περάσουν 5 δευτερόλεπτα.",0,"SA-478-1"
478,2,"Περιμένετε να δείτε το όχημα που προσπεράσατε στον καθρέπτη.",1,"SA-478-2"
479,1,"Είχε το δικαίωμα να το κάνει.",1,"SA-479-1"
479,2,"Διέπραξε αδίκημα.",0,"SA-479-2"
480,1,"Μπορείτε να ακολουθήσετε το όχημα μπροστά σας που προσπερνά.",0,"SA-480-1"
480,2,"Δεν πρέπει να ακολουθήσετε το όχημα που προσπερνά.",1,"SA-480-2"
481,1,"Διατηρείτε την ταχύτητά σας, γιατί το προσπέρασμά του ήταν αντικανονικό.",0,"SA-481-1"
481,2,"Επιβραδύνετε ελαφρώς για να αποφύγετε να τον κάνετε να διατρέξει κίνδυνο.",1,"SA-481-2"
482,1,"Το λεωφορείο υποχωρεί.",0,"SA-482-1"
482,2,"Το φορτηγό υποχωρεί.",1,"SA-473-1"
483,1,"Μπορείτε να ακολουθήσετε το λεωφορείο που προσπερνά.",0,"SA-483-1"
483,2,"Περιμένετε να ολοκληρώσει το λεωφορείο το προσπερασμά του για να προσπεράσετε.",1,"SA-483-2"
484,1,"ΝΑΙ",1,"SA-634-1"
484,2,"ΟΧΙ",0,"SA-600-2"
485,1,"Ο οδηγός του άναψε πολύ νωρίς τα φώτα πορείας.",1,"SA-485-1"
485,2,"Ο οδηγός του σωστά άναψε τα φώτα πορείας.",0,"SA-485-2"
486,1,"Είναι πιο συνετό να μην προσπεράσετε.",0,"SA-486-1"
486,2,"Μπορείτε να προσπεράσετε.",0,"SA-486-2"
486,3,"Δεν πρέπει να προσπεράσετε.",1,"SA-486-3"
487,1,"ΝΑΙ",0,"SA-634-1"
487,2,"ΟΧΙ",1,"SA-600-2"
488,1,"0,50 m.",0,"SA-488-1"
488,2,"1 m.",1,"SA-469-1"
488,3,"1,5 m.",0,"SA-488-3"
489,1,"Επιταχύνετε ελαφρώς για να εμποδίσετε αυτόν τον επικίνδυνο ελιγμό.",0,"SA-489-1"
489,2,"Διατηρείτε σταθερή ταχύτητα και στην ανάγκη επιβραδύνετε.",1,"SA-489-2"
490,1,"Εάν είναι απαραίτητο να μετακινηθείτε λίγο προς τον άξονα του οδοστρώματος.",1,"SA-490-1"
490,2,"Πλησιάζετε το πίσω τμήμα του για να έχετε καλύτερη ορατότητα.",0,"SA-490-2"
491,1,"ΝΑΙ",1,"SA-634-1"
491,2,"ΟΧΙ",0,"SA-600-2"
492,1,"1 m.",1,"SA-469-1"
492,2,"0,5 m.",0,"SA-492-2"
492,3,"Άνω των 1,5 m.",0,"SA-492-3"
493,1,"Σε μονόδρομους.",0,"SA-493-1"
493,2,"Όταν το προπορευόμενο όχημα πρόκειται να στρίψει δεξιά.",0,"SA-493-2"
493,3,"Όταν το προπορευόμενο όχημα σταματάει, για να διευκολύνει διάβαση πεζών.",1,"SA-493-3"
494,1,"Από το φορτηγό.",0,"SA-494-1"
494,2,"Από το επιβατηγό.",0,"SA-494-2"
494,3,"Από το ποδήλατο.",1,"SA-494-3"
495,1,"Να συνεχίσετε τη πορεία σας στο μέρος του οδοστρώματος που κινείσθε, έστω κι αν υπάρχει ευχέρεια να μετακινηθείτε προς το δεξιό άκρο του οδοστρώματος.",0,"SA-495-1"
495,2,"Να αυξήσετε την ταχύτητα του οχήματός σας.",0,"SA-495-2"
495,3,"Να φέρετε το όχημά σας όσο το δυνατόν πλησιέστερα στο δεξιό άκρο του οδοστρώματος και αν χρειαστεί να μειώσετε την ταχύτητά σας για να γίνει το προσπέρασμα με ασφάλεια.",1,"SA-495-3"
496,1,"Να αναπτύξετε και εσείς ταχύτητα, ώστε να μπορέσετε να το προσπεράσετε.",0,"SA-496-1"
496,2,"Να ελαττώσετε την ταχύτητα του οχήματός σας και να το επαναφέρετε πίσω από το προπορευόμενο.",1,"SA-496-2"
496,3,"Να ειδοποιήσετε με την κόρνα τον οδηγό του προπορευόμενου οχήματος για την πρόθεσή σας ώστε να μειώσει την ταχύτητά του.",0,"SA-496-3"
497,1,"Να σταματήσετε το όχημα πριν από τη διάβαση και να περάσετε αφού βεβαιωθείτε ότι δεν πλησιάζει σιδηροδρομικός συρμός.",1,"SA-497-1"
497,2,"Να αναπτύξετε ταχύτητα και να περάσετε όσο το δυνατόν ταχύτερα.",0,"SA-497-2"
497,3,"Να περάσετε αφού προηγουμένως σταματήσετε σε απόσταση τουλάχιστον 10 m από τη σιδηροδρομική γραμμή.",0,"SA-497-3"
498,1,"Όταν ο προπορευόμενος έχει δώσει σήμα ότι σκοπεύει να στρίψει αριστερά και έχει μετακινήσει το όχημά του προς αυτήν την πλευρά.",1,"SA-498-1"
498,2,"Όταν ο προπορευόμενος δεν έχει αφήσει ελεύθερη την αριστερή λωρίδα κυκλοφορίας του οδοστρώματος.",0,"SA-498-2"
498,3,"Σε καμιά περίπτωση.",0,"SA-500-3"
499,1,"Η ταχύτητα ενός αντιθέτως ερχόμενου οχήματος να εκτιμηθεί ως μικρή.",1,"SA-499-1"
499,2,"Η ταχύτητα ενός αντιθέτως ερχόμενου οχήματος να εκτιμηθεί ως πολύ υψηλή.",0,"SA-499-2"
500,1,"Μόνο σε μονόδρομους.",0,"SA-500-1"
500,2,"Όταν ο δρόμος έχει τρεις τουλάχιστον λωρίδες κυκλοφορίας για κάθε κατεύθυνση.",0,"SA-500-2"
500,3,"Σε καμιά περίπτωση.",1,"SA-500-3"
501,1,"Σε στοίχους (σειρές) αργά κινουμένων αυτοκινήτων, όταν η κίνηση στη λωρίδα από τα αριστερά σας είναι αργή.",1,"SA-501-1"
501,2,"Σε ένα δρόμο δύο λωρίδων ανά κατεύθυνση.",0,"SA-501-2"
502,1,"Θα περάσετε κατά το δυνατόν κοντά από τον ποδηλάτη, για να μην εισέλθετε στη λωρίδα της αντίθετης κυκλοφορίας.",0,"SA-502-1"
502,2,"Θα κρατήσετε μεγαλύτερες πλευρικές αποστάσεις, διότι ο ποδηλάτης είναι δυνατόν να αρχίσει να ταλαντεύεται.",1,"SA-502-2"
503,1,"Να κρατάτε αρκετή πλευρική απόσταση από τους άλλους χρήστες της οδού, ιδιαίτερα τους πεζούς και τους δικυκλιστές.",1,"SA-503-1"
503,2,"Η πλευρική απόσταση από τα δίκυκλα οχήματα να είναι μικρότερη από ό,τι στα αυτοκίνητα.",0,"SA-503-2"
504,1,"Χωρίς να ενοχλήσετε εκείνον που προσπεράσατε, να επανέλθετε στη δεξιά πλευρά του δρόμου κατά το δυνατόν πιο γρήγορα.",1,"SA-504-1"
504,2,"Να κορνάρετε καθώς προσπερνάτε και να πάτε αμέσως μπροστά από το όχημα που προσπεράσατε.",0,"SA-504-2"
505,1,"Το πρώτο επιβατηγό της φάλαγγας.",1,"SA-505-1"
505,2,"Το τελευταίο επιβατηγό της φάλαγγας.",0,"SA-505-2"
506,1,"Κατά το προσπέρασμα συρμών.",1,"SA-506-1"
506,2,"Κατά το πέρασμα μέσα από σήραγγα.",0,"SA-506-2"
506,3,"Κατά τη διέλευση από πυκνό δάσος.",0,"SA-506-3"
507,1,"Η οδήγηση σε μικρή απόσταση από το προπορευόμενο όχημα.",0,"SA-507-1"
507,2,"Υποτίμηση της ταχύτητας των προπορευομένων οχημάτων και των αντιθέτως ερχομένων οχημάτων.",1,"SA-507-2"
508,1,"Όταν δεν δημιουργείται κίνδυνος για την αντίθετη και την ακολουθούσα κυκλοφορία.",1,"SA-508-1"
508,2,"Όταν δεν δημιουργείται κίνδυνος για την ακολουθούσα κυκλοφορία.",0,"SA-508-2"
508,3,"Όταν δεν δημιουργείται κίνδυνος για την αντίθετη κυκλοφορία.",0,"SA-508-3"
509,1,"ΝΑΙ",0,"SA-634-1"
509,2,"ΟΧΙ",1,"SA-600-2"
510,1,"ΝΑΙ",0,"SA-634-1"
510,2,"ΟΧΙ",1,"SA-600-2"
511,1,"Πρέπει να κινηθείτε προς τα αριστερά, επειδή οι πινακίδες δηλώνουν ότι είναι υποχρεωτική η πορεία προς τα αριστερά.",0,"SA-511-1"
511,2,"Πρέπει να εντείνετε την προσοχή σας ανακόπτοντας την ταχύτητα του οχήματός σας αν είναι ανάγκη, επειδή οι πινακίδες προειδοποιούν για επικίνδυνη καμπύλη προς τα αριστερά.",1,"SA-511-2"
512,1,"Γιατί η ορατότητα εμποδίζεται από τη στροφή και το οδόστρωμα είναι βρεγμένο.",1,"SA-512-1"
512,2,"Γιατί μετά τη δεξιά στροφή μπορεί να υπάρχει επικίνδυνη αριστερή στροφή.",0,"SA-512-2"
513,1,"Μπροστά σας υπάρχουν δύο επικίνδυνες αντίρροπες ή διαδοχικές συνεχείς στροφές, η πρώτη αριστερά και η ταχύτητά σας πρέπει να περιορισθεί σε 40 km/h.",1,"SA-513-1"
513,2,"Επειδή θα συναντήσετε διακλάδωση με λοξή οδό αριστερά, πρέπει η ταχύτητά σας να περιορισθεί σε 40 km/h.",0,"SA-513-2"
514,1,"Ωθεί το όχημά σας προς το εσωτερικό της στροφής.",0,"SA-514-1"
514,2,"Ωθεί το όχημά σας προς το εξωτερικό της στροφής.",1,"SA-514-2"
514,3,"Μπορεί, μερικές φορές, να γίνει αισθητή στη δεξιά πλευρά του οχήματος.",0,"SA-514-3"
515,1,"Από τον αέρα που δημιουργείται κατά την πορεία του οχήματος.",0,"SA-515-1"
515,2,"Από την ταχύτητα.",1,"SA-515-2"
516,1,"Εισέρχεστε στη στροφή.",1,"SA-516-1"
516,2,"Εξέρχεσθε από τη στροφή.",0,"SA-516-2"
517,1,"Αυξάνεται ο κίνδυνος εκτροπής.",1,"SA-517-1"
517,2,"Μειώνεται ο κίνδυνος εκτροπής.",0,"SA-517-2"
518,1,"Ελαττώνετε την ταχύτητα προ της στροφής και επιταχύνετε μόνο όταν, μετά τη στροφή, βγείτε πάλι στην ευθεία.",1,"SA-518-1"
518,2,"Ελαττώνετε την ταχύτητα μόνο όταν βρίσκεσθε στην κορυφή της καμπύλης.",0,"SA-518-2"
519,1,"Η σταθερή ταχύτητα μέσα στη στροφή.",0,"SA-519-1"
519,2,"Η αλλαγή λωρίδας μέσα στη στροφή.",1,"SA-519-2"
520,1,"Το βαρύ όχημα πριν στρίψει θα μετακινηθεί στο αριστερό μέρος του δρόμου.",1,"SA-520-1"
520,2,"Το βαρύ όχημα θα πάρει θέση στο δεξιό άκρο του δρόμου.",0,"SA-520-2"
521,1,"Επί δύο.",0,"SA-521-1"
521,2,"Επί τρία.",0,"SA-521-2"
521,3,"Επί τέσσερα.",1,"SA-521-3"
522,1,"Το επιβατηγό παραμένει ασφαλές στην πορεία του.",0,"SA-522-1"
522,2,"Το επιβατηγό μπορεί να εκτραπεί από το δρόμο.",1,"SA-522-2"
523,1,"Είναι σωστός χειρισμός.",0,"SA-523-1"
523,2,"Είναι λανθασμένος χειρισμός.",1,"SA-523-2"
524,1,"Το όχημα 1.",0,"SA-327-1"
524,2,"Το όχημα 2.",0,"SA-338-2"
524,3,"Και τα δυο οχήματα.",1,"SA-524-3"
525,1,"Ναι, γιατί κινείται προς τα αριστερά.",0,"SA-525-1"
525,2,"Όχι, γιατί έβγαλε το δεξί του φλας.",1,"SA-525-2"
526,1,"Μπορεί να αλλάξει λωρίδα ή να επιβραδύνει για να διευκολύνει το φορτηγό να εισέλθει στο κύριο ρεύμα κυκλοφορίας.",1,"SA-526-1"
526,2,"Να κινείται με την ίδια ταχύτητα παράλληλα και κοντά στο φορτηγό.",0,"SA-526-2"
527,1,"Εάν δεν υπάρχει κάποιος πεζός που να τη διασχίζει και εάν οι φωτεινοί σηματοδότες σάς το επιτρέπουν.",1,"SA-527-1"
527,2,"Μόνο εάν πρόκειται να προσπεράσετε ένα δίκυκλο.",0,"SA-527-2"
528,1,"Ετοιμάζεστε να ξεκινήσετε αφού ανάψει πράσινο για εσάς και επιβεβαιωθείτε πως δεν υπάρχουν πεζοί που να διασχίζουν ακόμη το δρόμο.",1,"SA-528-1"
528,2,"Ξεκινάτε αμέσως μόλις ανάψει το πράσινο φανάρι για εσάς.",0,"SA-528-2"
529,1,"Ναι, γιατί είναι υποχρεωτικό από τον Κ.Ο.Κ. και γιατί είναι ευάλωτοι.",1,"SA-529-1"
529,2,"Όχι, γιατί μπορείτε να ελιχθείτε γύρω τους.",0,"SA-529-2"
530,1,"Να συνεχίσετε την πορεία σας.",0,"SA-530-1"
530,2,"Να σταματήσετε πριν τη διάβαση πεζών για να περάσει ο πεζός.",1,"SA-530-2"
531,1,"Θα προχωρήσετε με ιδιαίτερη προσοχή παραχωρώντας προτεραιότητα στους πεζούς και στα οχήματα που κινούνται ακόμη στη διασταύρωση από την προηγούμενη σηματοδότηση.",1,"SA-531-1"
531,2,"Θα σταματήσετε στη διασταύρωση επειδή υπάρχει η πινακίδα STOP.",0,"SA-531-2"
532,1,"Ότι υπάρχει κίνδυνος λόγω συχνής κινήσεως παιδιών.",1,"SA-532-1"
532,2,"Ότι υπάρχει κίνδυνος λόγω διαβάσεως πεζών.",0,"SA-532-2"
533,1,"Πρέπει να προσέξετε τους πεζούς και να συνεχίσετε με αμείωτη ταχύτητα την πορεία σας.",0,"SA-533-1"
533,2,"Πρέπει να προσέξετε το επιβατηγό αυτοκίνητο που μετακινείται από την αριστερή προς τη μεσαία λωρίδα κυκλοφορίας και εάν χρειασθεί να ανακόψετε την ταχύτητά σας.",1,"SA-533-2"
534,1,"Θα κορνάρετε για να φύγει από το οδόστρωμα και να περάσετε.",0,"SA-534-1"
534,2,"Θα σταματήσετε πριν τις γραμμές της διαβάσεως πεζών και θα περιμένετε μέχρι να περάσουν οι μαθητές και ο σχολικός τροχονόμος να δώσει σήμα να περάσετε.",1,"SA-534-2"
535,1,"Τα οχήματα 1 και 3.",0,"SA-535-1"
535,2,"Τα οχήματα 2 και 3.",1,"SA-312-2"
535,3,"Τα οχήματα 1, 2 και 3.",0,"SA-535-3"
536,1,"Επιταχύνετε πριν φτάσει το μοτοποδήλατο.",0,"SA-536-1"
536,2,"Περιμένετε να περάσει πρώτα το μοτοποδήλατο και έπειτα προσπερνάτε.",1,"SA-536-2"
537,1,"ΝΑΙ",1,"SA-634-1"
537,2,"ΟΧΙ",0,"SA-600-2"
538,1,"ΝΑΙ",1,"SA-634-1"
538,2,"ΟΧΙ",0,"SA-600-2"
539,1,"Μόνο όταν χρησιμοποιούν τις ειδικές ηχητικές ή φωτεινές προειδοποιήσεις.",1,"SA-539-1"
539,2,"Πάντοτε.",0,"SA-539-2"
540,1,"Ότι όλα τα παιδιά συμπεριφέρονται σύμφωνα με τους κανόνες της οδικής κυκλοφορίας.",0,"SA-540-1"
540,2,"Ότι οι μαθητές μπορεί να ορμήσουν απρόσεκτα στο οδόστρωμα.",1,"SA-540-2"
541,1,"Όταν πλησιάζει άλλο όχημα από την αντίθετη κατεύθυνση.",0,"SA-541-1"
541,2,"Όταν δεν πλησιάζει άλλο όχημα από την αντίθετη κατεύθυνση και δεν προηγείται όχημα σε μικρή απόσταση.",1,"SA-541-2"
541,3,"Όταν προηγείται όχημα σε μικρή απόσταση.",0,"SA-541-3"
542,1,"Όταν πρόκειται να προσπεράσετε άλλο όχημα.",0,"SA-542-1"
542,2,"Σε περιπτώσεις έκτακτης ανάγκης για την αποφυγή δυστυχήματος και όταν μεταφέρονται άτομα που κινδυνεύουν ή έχουν άμεση ανάγκη ιατρικής βοήθειας.",1,"SA-542-2"
542,3,"Σε καμιά περίπτωση.",0,"SA-500-3"
